<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDRUB_TOM,D,2015-11-27,000000,65.932,66.489,65.93,66.48,3111964000,0
USDRUB_TOM,D,2015-11-30,000000,66.61,66.915,65.755,66.49,4171349000,0
USDRUB_TOM,D,2015-12-01,000000,66.4,66.9,66.055,66.61,3338962000,0
USDRUB_TOM,D,2015-12-02,000000,66.558,67.5,66.519,67.5,4718550000,0
USDRUB_TOM,D,2015-12-03,000000,67.421,68.183,67.367,67.508,4361075000,0
USDRUB_TOM,D,2015-12-04,000000,67.657,68.325,67.229,68.135,4712998000,0
USDRUB_TOM,D,2015-12-07,000000,68.447,69.5,68.365,69.499,4602373000,0
USDRUB_TOM,D,2015-12-08,000000,69.167,69.933,69.033,69.4,5742224000,0
USDRUB_TOM,D,2015-12-09,000000,69.222,69.657,68.714,69.368,4850663000,0
USDRUB_TOM,D,2015-12-10,000000,69.383,69.383,68.555,69.15,4011230000,0
USDRUB_TOM,D,2015-12-11,000000,69.2,70.5,69.066,70.362,4786562000,0
USDRUB_TOM,D,2015-12-14,000000,70.261,71.225,70.05,70.555,5829317000,0
USDRUB_TOM,D,2015-12-15,000000,70.511,71.054,69.634,69.941,5666593000,0
USDRUB_TOM,D,2015-12-16,000000,70.15,70.62,69.805,70.396,4647101000,0
USDRUB_TOM,D,2015-12-17,000000,70.661,71.183,70.292,71.183,5244625000,0
USDRUB_TOM,D,2015-12-18,000000,71.151,71.473,70.521,70.948,5808241000,0
USDRUB_TOM,D,2015-12-21,000000,71.385,71.414,71.015,71.233,3240374000,0
USDRUB_TOM,D,2015-12-22,000000,71.15,71.31,70.963,71.233,2631326000,0
USDRUB_TOM,D,2015-12-23,000000,71.15,71.161,69.631,69.8,4537493000,0
USDRUB_TOM,D,2015-12-24,000000,69.969,70.839,69.155,70.24,4732397000,0
USDRUB_TOM,D,2015-12-25,000000,70.415,70.8,70.007,70.689,1573131000,0
USDRUB_TOM,D,2015-12-28,000000,70.404,72.467,70.36,72.225,4469132000,0
USDRUB_TOM,D,2015-12-29,000000,72.232,72.85,71.8,72.205,4720063000,0
USDRUB_TOM,D,2015-12-30,000000,72.593,73.63,72.46,73.59,4059476000,0
USDRUB_TOM,D,2016-01-04,000000,73.081,73.72,72.615,73.16,1557004000,0
USDRUB_TOM,D,2016-01-05,000000,72.99,73.55,72.823,73.316,969004000,0
USDRUB_TOM,D,2016-01-06,000000,73.318,75.1,73.264,74.76,1984001000,0
USDRUB_TOM,D,2016-01-11,000000,75.721,76.493,75.06,76.211,4952591000,0
USDRUB_TOM,D,2016-01-12,000000,77,77.244,75.901,77.065,5640143000,0
USDRUB_TOM,D,2016-01-13,000000,76.812,76.897,75.74,76.677,5851838000,0
USDRUB_TOM,D,2016-01-14,000000,76.928,77,76.051,76.051,4128287000,0
USDRUB_TOM,D,2016-01-15,000000,76.426,77.95,76.419,77.603,5352475000,0
USDRUB_TOM,D,2016-01-18,000000,78.048,79.43,78.048,79.29,4759569000,0
USDRUB_TOM,D,2016-01-19,000000,78.93,78.958,78.063,78.561,6423590000,0
USDRUB_TOM,D,2016-01-20,000000,79.298,82.469,79.17,81.4,7450523000,0
USDRUB_TOM,D,2016-01-21,000000,82.303,85.999,81.75,82.63,9738456000,0
USDRUB_TOM,D,2016-01-22,000000,81.593,82.094,77.901,78.024,8178530000,0
USDRUB_TOM,D,2016-01-25,000000,77.292,80.169,76.392,80.04,7797553000,0
USDRUB_TOM,D,2016-01-26,000000,81.612,82.3,77.7,78.3,9073133000,0
USDRUB_TOM,D,2016-01-27,000000,78.699,79.475,76.94,77.667,5952318000,0
USDRUB_TOM,D,2016-01-28,000000,77.499,78.036,75.473,76.397,7783734000,0
USDRUB_TOM,D,2016-01-29,000000,75.78,76.685,74.572,75.43,6958021000,0
USDRUB_TOM,D,2016-02-01,000000,75.73,77.455,75.454,77.31,5254018000,0
USDRUB_TOM,D,2016-02-02,000000,78.138,79.847,77.714,79.755,6857496000,0
USDRUB_TOM,D,2016-02-03,000000,79.452,79.9,76.661,76.904,6935639000,0
USDRUB_TOM,D,2016-02-04,000000,76.678,77.308,75.544,76.969,6996020000,0
USDRUB_TOM,D,2016-02-05,000000,76.984,77.766,76.34,77.47,5387485000,0
USDRUB_TOM,D,2016-02-08,000000,76.878,79.079,76.382,78.544,5402194000,0
USDRUB_TOM,D,2016-02-09,000000,78.912,79.963,78.07,79.701,6710622000,0
USDRUB_TOM,D,2016-02-10,000000,79.619,80.035,77.62,78.606,5169165000,0
USDRUB_TOM,D,2016-02-11,000000,78.893,80.64,78.683,79.592,7360631000,0
USDRUB_TOM,D,2016-02-12,000000,79.3,79.785,78.121,78.34,4936523000,0
USDRUB_TOM,D,2016-02-15,000000,77.917,78.014,76.9,76.95,3767100000,0
USDRUB_TOM,D,2016-02-16,000000,76.5,78.155,75.901,77.899,6250151000,0
USDRUB_TOM,D,2016-02-17,000000,77.995,78.326,74.631,75.032,5720572000,0
USDRUB_TOM,D,2016-02-18,000000,75.12,76.5,74.867,76.5,5308006000,0
USDRUB_TOM,D,2016-02-19,000000,76.522,77.9,76.02,76.986,4561781000,0
USDRUB_TOM,D,2016-02-20,000000,76.87,77.282,76.515,77.05,639209000,0
USDRUB_TOM,D,2016-02-22,000000,76.356,76.692,74.951,75.3,1660348000,0
USDRUB_TOM,D,2016-02-24,000000,76.496,77.58,75.69,75.711,5850383000,0
USDRUB_TOM,D,2016-02-25,000000,75.946,76.687,75.18,75.385,4672515000,0
USDRUB_TOM,D,2016-02-26,000000,75.385,76.421,74.476,76.2,6929762000,0
USDRUB_TOM,D,2016-02-29,000000,75.548,76.296,74.858,75.2,3642055000,0
USDRUB_TOM,D,2016-03-01,000000,74.587,74.804,73.167,73.392,5412415000,0
USDRUB_TOM,D,2016-03-02,000000,73.288,74.26,73.01,73.07,4075572000,0
USDRUB_TOM,D,2016-03-03,000000,73.069,74.1,72.88,73.171,4022850000,0
USDRUB_TOM,D,2016-03-04,000000,73.03,73.445,71.75,71.97,3991477000,0
USDRUB_TOM,D,2016-03-07,000000,71.696,72.26,71.12,71.471,1806341000,0
USDRUB_TOM,D,2016-03-09,000000,72.398,72.667,70.75,71.141,4310017000,0
USDRUB_TOM,D,2016-03-10,000000,71.1,71.897,69.945,71.455,5892534000,0
USDRUB_TOM,D,2016-03-11,000000,70.847,71.034,69.435,69.883,4761457000,0
USDRUB_TOM,D,2016-03-14,000000,70,70.977,69.681,69.96,4318944000,0
USDRUB_TOM,D,2016-03-15,000000,70.35,71.399,70.086,71.04,5660278000,0
