Date,Open,High,Low,Close,Volume,Adj Close
2012-07-24,4159.20,4169.40,4143.40,4161.20,757177400,4161.20
2012-07-23,4230.60,4230.60,4159.20,4159.20,737466200,4159.20
2012-07-20,4236.40,4245.50,4217.30,4230.60,884712200,4230.60
2012-07-19,4156.40,4236.40,4156.40,4236.40,1006433300,4236.40
2012-07-18,4175.30,4177.30,4154.10,4156.40,723710800,4156.40
2012-07-17,4143.20,4187.60,4140.90,4175.30,758344000,4175.30
2012-07-16,4118.30,4162.20,4118.30,4143.20,661124400,4143.20
2012-07-13,4106.00,4138.40,4100.00,4118.30,751439800,4118.30
2012-07-12,4135.00,4146.20,4101.40,4106.00,777071000,4106.00
2012-07-11,4137.90,4140.60,4116.40,4135.00,805199600,4135.00
2012-07-10,4159.80,4176.80,4130.20,4137.90,786653400,4137.90
2012-07-09,4199.00,4199.00,4154.00,4159.80,577840800,4159.80
2012-07-06,4209.90,4210.20,4187.20,4199.00,627998800,4199.00
2012-07-05,4213.80,4215.80,4199.50,4209.90,709239000,4209.90
2012-07-04,4166.40,4213.90,4166.40,4213.80,836677200,4213.80
2012-07-03,4172.50,4180.10,4159.50,4166.40,676242000,4166.40
2012-07-02,4135.50,4189.90,4135.50,4172.50,892610800,4172.50
2012-06-29,4085.60,4155.20,4073.80,4135.50,1329878300,4135.50
2012-06-28,4084.00,4113.70,4081.70,4085.60,905967800,4085.60
2012-06-27,4056.30,4084.60,4055.40,4084.00,884378000,4084.00
2012-06-26,4072.00,4072.00,4046.40,4056.30,941781600,4056.30
2012-06-25,4093.80,4093.80,4041.20,4072.00,849274400,4072.00
2012-06-22,4133.70,4133.70,4084.50,4093.80,963534400,4093.80
2012-06-21,4176.80,4180.40,4131.10,4133.70,1293007000,4133.70
2012-06-20,4167.40,4202.60,4167.40,4176.80,1151098300,4176.80
2012-06-19,4183.90,4183.90,4151.00,4167.40,754080200,4167.40
2012-06-18,4107.00,4185.10,4107.00,4183.90,1011712200,4183.90
2012-06-15,4089.80,4110.40,4083.50,4107.00,1158625500,4107.00
2012-06-14,4111.50,4111.50,4074.40,4089.80,770840800,4089.80
2012-06-13,4118.30,4132.80,4095.70,4111.50,826509600,4111.50
2012-06-12,4111.20,4131.20,4108.70,4118.30,1058826700,4118.30
2012-06-08,4156.70,4168.20,4103.20,4111.20,1186877700,4111.20
2012-06-07,4104.70,4166.50,4104.70,4156.70,1108760200,4156.70
2012-06-06,4092.40,4112.20,4086.10,4104.70,870932600,4104.70
2012-06-05,4033.40,4095.20,4033.40,4092.40,958341000,4092.40
2012-06-04,4116.90,4116.90,4033.40,4033.40,957333400,4033.40
2012-06-01,4133.70,4133.70,4088.40,4116.90,910210000,4116.90
2012-05-31,4148.70,4148.70,4092.50,4133.70,1245041300,4133.70
