Date	High	Low	Open	Volume	Close	Dividend
01/17/2012	53848.63	52797.16	53364.63	0	53529.3	
01/16/2012	52802.56	51484.36	51712.14	0	52797.16	
01/13/2012	52792.6	51148.2	52529.22	0	51561.68	
01/12/2012	52489.88	51410.44	51631.51	0	52154.27	
01/11/2012	51524.43	50499.74	50767.33	0	51410.44	
01/10/2012	51092.38	49836.98	50325.15	0	50781.84	
01/09/2012	50562.29	49263.3	50497.76	0	49836.98	
01/06/2012	51474.51	50007.03	51183.12	0	50182.53	
01/05/2012	51661.6	50753.95	51640.23	0	51204.58	
01/04/2012	52956.73	51258.69	52748.24	0	51532.56	
01/03/2012	52859.07	51340.96	51645.21	0	52859.07	
01/02/2012	51711.94	51029.4	51314.57	0	51340.96	
12/30/2011	52334.19	51013.4	52111.76	0	51266.62	
12/29/2011	52053.62	51116.72	51563.51	0	52053.62	
12/28/2011	52561.2	51452	52403.32	0	51553.2	
12/27/2011	52618.38	52202.75	52453.86	0	52561.2	
12/26/2011	52554.85	51948.62	52235.82	0	52517.25	
12/23/2011	52265.3	51591.56	52032.55	0	51948.62	
12/22/2011	52332.67	51301.2	52013.51	0	51591.56	
12/21/2011	52846.11	51507.11	52458.6	0	51747.43	
12/20/2011	52155.82	50639.56	50958.05	0	52126.94	
12/19/2011	51824.5	50684.01	51450.31	0	50742.08	
12/16/2011	52337.3	51551.49	52250.03	0	51665.78	
12/15/2011	52250	51088.4	51530	0	51886.47	
12/14/2011	52551.52	51158.49	52323.74	0	51338.97	
12/13/2011	52989.15	52117.13	52457.95	0	52551.52	
12/12/2011	53885.46	52328.16	53736.23	0	52444.07	
12/09/2011	53986.9	52655.86	52655.86	0	53834.91	
12/08/2011	55212.3	53316.73	55189.29	0	53499.25	
12/07/2011	55537.56	54377.55	55128.77	0	55138.85	
12/06/2011	55195.81	54300.14	54780.41	0	54679.11	
12/05/2011	55384.08	54725.02	54928.94	0	55195.81	
12/02/2011	55154.53	53941.9	53986.17	0	54769.25	
12/01/2011	54792.44	53636.62	54412.8	0	53806.64	
11/30/2011	54517.76	51640.47	51743	0	54517.76	
11/29/2011	52488.55	51582.08	52283.58	0	52092.78	
11/28/2011	52450.67	51071.22	51575.94	0	52283.58	
11/25/2011	51084.01	48812.4	49621.67	0	51071.22	
11/24/2011	51703.6	49621.67	51091.51	0	49621.67	
11/23/2011	53387.49	50656.59	51986.38	0	51091.51	
11/22/2011	54506.52	51497.34	52752.15	0	51986.38	
11/21/2011	54506.52	52589.31	54434.68	0	52752.15	
11/18/2011	55089.82	54344.7	55089.82	0	54473.9	
11/17/2011	56306.7	54923.02	55927.45	0	55089.82	
11/16/2011	56306.7	55285.04	55922.53	0	55927.45	
11/15/2011	56770.67	55285.04	55875.72	0	55922.53	
11/14/2011	56770.67	55714.89	56619.84	0	55875.72	
11/11/2011	56391.97	55540.67	55540.67	0	56201.45	
