"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-11-18","2017-11-18",7790.15,347.61,0.228627,1254.53,69.64,0.026369,42.74,0.036583,1.93,454.74,130.8,0.823032,0.196271,17.72,0.002028,0.265129,9.28,1
"2017-11-19","2017-11-19",8036.49,354.39,0.231016,1172.05,71.59,0.028084,39.75,0.036566,1.88,442.31,129.48,0.864638,0.201947,17.92,0.002002,0.249098,9.74,1
"2017-11-20","2017-11-20",8200.64,366.73,0.238759,1236.01,72.25,0.029581,35.64,0.038121,1.99,486.54,135.76,0.966548,0.213041,18.39,0.002134,0.26824,9.77,1
"2017-11-21","2017-11-21",8071.26,360.4,0.233271,1176.97,70.03,0.028331,34.36,0.037668,1.9,494.21,141.74,0.888499,0.202712,17.8,0.002143,0.267959,9.68,0.996047
"2017-11-22","2017-11-22",8253.55,380.65,0.238859,1303.31,71.89,0.028549,35.86,0.042299,1.89,578.85,165.95,0.89957,0.203891,17.99,0.002302,0.262787,8.57,1
"2017-11-23","2017-11-23",8038.77,410.17,0.242402,1683.81,73.22,0.027444,34.9,0.040535,1.89,566.68,158.61,0.793487,0.201437,18.23,0.002105,0.238242,7.49,0.994631
"2017-11-24","2017-11-24",8253.69,474.91,0.244642,1648.51,77.97,0.028382,34.79,0.040193,1.88,566.63,160.03,0.786914,0.209109,21.45,0.002025,0.258151,7.89,1
"2017-11-25","2017-11-25",8790.92,466.28,0.252393,1571.27,88.82,0.030447,38.13,0.043639,2.05,643.57,168.44,0.806117,0.218506,21.71,0.002048,0.256218,8.04,1.01
"2017-11-26","2017-11-26",9330.55,471.33,0.248818,1735.66,85.93,0.036332,38.44,0.048896,2.46,621.62,163.37,0.841932,0.213886,22.22,0.002138,0.245005,7.51,1.01
"2017-11-27","2017-11-27",9818.35,480.36,0.253927,1622.57,91.6,0.050593,40.13,0.059843,2.86,632.3,173.39,1.04,0.226282,25.75,0.002062,0.245728,7.89,1
"2017-11-28","2017-11-28",10058.8,472.9,0.299152,1546.18,96.03,0.119744,38.08,0.081415,2.75,626.42,203.21,1.5,0.248682,33.98,0.002308,0.269134,7.79,1
"2017-11-29","2017-11-29",9888.61,427.52,0.243064,1359.71,85.57,0.089718,32.28,0.064424,2.71,677.39,168.15,1.25,0.218286,25.42,0.002068,0.229357,6.9,0.990606
"2017-11-30","2017-11-30",10233.6,447.11,0.250878,1389.78,88.33,0.119883,32.96,0.072871,2.85,786.93,180.14,1.33,0.226677,28.19,0.002244,0.255799,7.5,1.01
"2017-12-01","2017-12-01",10975.6,466.54,0.255699,1462.68,99,0.131352,35.84,0.089883,3.24,797.53,190.94,1.45,0.239571,31.2,0.002118,0.331534,7.73,1.01
"2017-12-02","2017-12-02",11074.6,463.45,0.255492,1434.98,100.28,0.132351,35.07,0.093816,3.92,778.43,203.03,1.44,0.252322,30.8,0.002073,0.367434,7.7,0.999654
"2017-12-03","2017-12-03",11323.2,465.85,0.252558,1559.93,101.26,0.131807,36.62,0.089035,3.61,768.88,200.05,1.88,0.275915,30.46,0.002116,0.444544,7.74,1
"2017-12-04","2017-12-04",11657.2,470.2,0.253571,1576.92,104.24,0.13587,42.17,0.09761,4.03,774.01,210.24,2.76,0.285884,30.4,0.002144,0.497426,8.77,1
"2017-12-05","2017-12-05",11916.7,463.28,0.246101,1501.85,102.4,0.127488,38.82,0.123523,4.24,756.36,269.48,3.84,0.301329,30.39,0.002085,0.68401,9.94,1
"2017-12-06","2017-12-06",14291.5,428.59,0.232544,1430.1,100.35,0.117839,35.16,0.151622,4.55,700.07,278.69,4.36,0.270295,27.86,0.003055,0.589222,8.49,1.01
"2017-12-07","2017-12-07",17899.7,434.41,0.222823,1330.93,98.29,0.105501,34.86,0.133046,3.99,697.9,280.86,4.14,0.236283,26.82,0.004275,0.467044,7.36,1.03
"2017-12-08","2017-12-08",16569.4,456.03,0.252125,1464.13,124.85,0.115465,36.27,0.13726,4.29,726.67,276.74,5.01,0.639449,30.05,0.004394,0.565619,8.06,1.02
"2017-12-09","2017-12-09",15178.2,473.5,0.244708,1410.06,155.24,0.119609,35.71,0.135122,4.06,723.61,262.53,4.68,0.445482,29.09,0.004473,0.552503,8.21,1.02
